"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10703536,107,"2005-08-29","Monday",0,NA
"43",10703536,107,"2005-08-29","Monday",1,NA
"85",10703536,107,"2005-08-29","Monday",2,NA
"127",10703536,107,"2005-08-29","Monday",3,NA
"169",10703536,107,"2005-08-29","Monday",4,NA
"211",10703536,107,"2005-08-29","Monday",5,NA
"253",10703536,107,"2005-08-29","Monday",6,NA
"295",10703536,107,"2005-08-29","Monday",7,NA
"337",10703536,107,"2005-08-29","Monday",8,NA
"379",10703536,107,"2005-08-29","Monday",9,NA
"421",10703536,107,"2005-08-29","Monday",10,NA
"463",10703536,107,"2005-08-29","Monday",11,NA
"505",10703536,107,"2005-08-29","Monday",12,NA
"547",10703536,107,"2005-08-29","Monday",13,NA
"589",10703536,107,"2005-08-29","Monday",14,69
"631",10703536,107,"2005-08-29","Monday",15,172
"673",10703536,107,"2005-08-29","Monday",16,240
"715",10703536,107,"2005-08-29","Monday",17,189
"757",10703536,107,"2005-08-29","Monday",18,117
"799",10703536,107,"2005-08-29","Monday",19,96
"841",10703536,107,"2005-08-29","Monday",20,51
"883",10703536,107,"2005-08-29","Monday",21,25
"925",10703536,107,"2005-08-29","Monday",22,19
"967",10703536,107,"2005-08-29","Monday",23,6
"2",10703536,107,"2005-08-30","Tuesday",0,1
"44",10703536,107,"2005-08-30","Tuesday",1,3
"86",10703536,107,"2005-08-30","Tuesday",2,0
"128",10703536,107,"2005-08-30","Tuesday",3,2
"170",10703536,107,"2005-08-30","Tuesday",4,6
"212",10703536,107,"2005-08-30","Tuesday",5,12
"254",10703536,107,"2005-08-30","Tuesday",6,47
"296",10703536,107,"2005-08-30","Tuesday",7,161
"338",10703536,107,"2005-08-30","Tuesday",8,268
"380",10703536,107,"2005-08-30","Tuesday",9,124
"422",10703536,107,"2005-08-30","Tuesday",10,70
"464",10703536,107,"2005-08-30","Tuesday",11,75
"506",10703536,107,"2005-08-30","Tuesday",12,92
"548",10703536,107,"2005-08-30","Tuesday",13,79
"590",10703536,107,"2005-08-30","Tuesday",14,98
"632",10703536,107,"2005-08-30","Tuesday",15,174
"674",10703536,107,"2005-08-30","Tuesday",16,255
"716",10703536,107,"2005-08-30","Tuesday",17,196
"758",10703536,107,"2005-08-30","Tuesday",18,138
"800",10703536,107,"2005-08-30","Tuesday",19,117
"842",10703536,107,"2005-08-30","Tuesday",20,78
"884",10703536,107,"2005-08-30","Tuesday",21,37
"926",10703536,107,"2005-08-30","Tuesday",22,32
"968",10703536,107,"2005-08-30","Tuesday",23,8
"3",10703536,107,"2005-08-31","Wednesday",0,3
"45",10703536,107,"2005-08-31","Wednesday",1,2
"87",10703536,107,"2005-08-31","Wednesday",2,4
"129",10703536,107,"2005-08-31","Wednesday",3,2
"171",10703536,107,"2005-08-31","Wednesday",4,4
"213",10703536,107,"2005-08-31","Wednesday",5,11
"255",10703536,107,"2005-08-31","Wednesday",6,58
"297",10703536,107,"2005-08-31","Wednesday",7,182
"339",10703536,107,"2005-08-31","Wednesday",8,249
"381",10703536,107,"2005-08-31","Wednesday",9,129
"423",10703536,107,"2005-08-31","Wednesday",10,80
"465",10703536,107,"2005-08-31","Wednesday",11,88
"507",10703536,107,"2005-08-31","Wednesday",12,81
"549",10703536,107,"2005-08-31","Wednesday",13,76
"591",10703536,107,"2005-08-31","Wednesday",14,99
"633",10703536,107,"2005-08-31","Wednesday",15,215
"675",10703536,107,"2005-08-31","Wednesday",16,258
"717",10703536,107,"2005-08-31","Wednesday",17,211
"759",10703536,107,"2005-08-31","Wednesday",18,171
"801",10703536,107,"2005-08-31","Wednesday",19,165
"843",10703536,107,"2005-08-31","Wednesday",20,112
"885",10703536,107,"2005-08-31","Wednesday",21,75
"927",10703536,107,"2005-08-31","Wednesday",22,52
"969",10703536,107,"2005-08-31","Wednesday",23,22
"4",10703536,107,"2005-09-01","Thursday",0,9
"46",10703536,107,"2005-09-01","Thursday",1,9
"88",10703536,107,"2005-09-01","Thursday",2,4
"130",10703536,107,"2005-09-01","Thursday",3,4
"172",10703536,107,"2005-09-01","Thursday",4,2
"214",10703536,107,"2005-09-01","Thursday",5,10
"256",10703536,107,"2005-09-01","Thursday",6,45
"298",10703536,107,"2005-09-01","Thursday",7,169
"340",10703536,107,"2005-09-01","Thursday",8,271
"382",10703536,107,"2005-09-01","Thursday",9,155
"424",10703536,107,"2005-09-01","Thursday",10,85
"466",10703536,107,"2005-09-01","Thursday",11,77
"508",10703536,107,"2005-09-01","Thursday",12,65
"550",10703536,107,"2005-09-01","Thursday",13,88
"592",10703536,107,"2005-09-01","Thursday",14,99
"634",10703536,107,"2005-09-01","Thursday",15,198
"676",10703536,107,"2005-09-01","Thursday",16,275
"718",10703536,107,"2005-09-01","Thursday",17,234
"760",10703536,107,"2005-09-01","Thursday",18,159
"802",10703536,107,"2005-09-01","Thursday",19,122
"844",10703536,107,"2005-09-01","Thursday",20,109
"886",10703536,107,"2005-09-01","Thursday",21,56
"928",10703536,107,"2005-09-01","Thursday",22,33
"970",10703536,107,"2005-09-01","Thursday",23,18
"5",10703536,107,"2005-09-02","Friday",0,10
"47",10703536,107,"2005-09-02","Friday",1,14
"89",10703536,107,"2005-09-02","Friday",2,3
"131",10703536,107,"2005-09-02","Friday",3,4
"173",10703536,107,"2005-09-02","Friday",4,2
"215",10703536,107,"2005-09-02","Friday",5,10
"257",10703536,107,"2005-09-02","Friday",6,35
"299",10703536,107,"2005-09-02","Friday",7,146
"341",10703536,107,"2005-09-02","Friday",8,242
"383",10703536,107,"2005-09-02","Friday",9,155
"425",10703536,107,"2005-09-02","Friday",10,79
"467",10703536,107,"2005-09-02","Friday",11,74
"509",10703536,107,"2005-09-02","Friday",12,90
"551",10703536,107,"2005-09-02","Friday",13,110
"593",10703536,107,"2005-09-02","Friday",14,142
"635",10703536,107,"2005-09-02","Friday",15,214
"677",10703536,107,"2005-09-02","Friday",16,269
"719",10703536,107,"2005-09-02","Friday",17,188
"761",10703536,107,"2005-09-02","Friday",18,108
"803",10703536,107,"2005-09-02","Friday",19,99
"845",10703536,107,"2005-09-02","Friday",20,80
"887",10703536,107,"2005-09-02","Friday",21,41
"929",10703536,107,"2005-09-02","Friday",22,46
"971",10703536,107,"2005-09-02","Friday",23,21
"6",10703536,107,"2005-09-03","Saturday",0,18
"48",10703536,107,"2005-09-03","Saturday",1,9
"90",10703536,107,"2005-09-03","Saturday",2,6
"132",10703536,107,"2005-09-03","Saturday",3,8
"174",10703536,107,"2005-09-03","Saturday",4,7
"216",10703536,107,"2005-09-03","Saturday",5,4
"258",10703536,107,"2005-09-03","Saturday",6,7
"300",10703536,107,"2005-09-03","Saturday",7,14
"342",10703536,107,"2005-09-03","Saturday",8,29
"384",10703536,107,"2005-09-03","Saturday",9,65
"426",10703536,107,"2005-09-03","Saturday",10,47
"468",10703536,107,"2005-09-03","Saturday",11,79
"510",10703536,107,"2005-09-03","Saturday",12,86
"552",10703536,107,"2005-09-03","Saturday",13,113
"594",10703536,107,"2005-09-03","Saturday",14,110
"636",10703536,107,"2005-09-03","Saturday",15,90
"678",10703536,107,"2005-09-03","Saturday",16,96
"720",10703536,107,"2005-09-03","Saturday",17,59
"762",10703536,107,"2005-09-03","Saturday",18,85
"804",10703536,107,"2005-09-03","Saturday",19,32
"846",10703536,107,"2005-09-03","Saturday",20,44
"888",10703536,107,"2005-09-03","Saturday",21,24
"930",10703536,107,"2005-09-03","Saturday",22,29
"972",10703536,107,"2005-09-03","Saturday",23,30
"7",10703536,107,"2005-09-04","Sunday",0,12
"49",10703536,107,"2005-09-04","Sunday",1,9
"91",10703536,107,"2005-09-04","Sunday",2,12
"133",10703536,107,"2005-09-04","Sunday",3,7
"175",10703536,107,"2005-09-04","Sunday",4,7
"217",10703536,107,"2005-09-04","Sunday",5,6
"259",10703536,107,"2005-09-04","Sunday",6,14
"301",10703536,107,"2005-09-04","Sunday",7,8
"343",10703536,107,"2005-09-04","Sunday",8,13
"385",10703536,107,"2005-09-04","Sunday",9,27
"427",10703536,107,"2005-09-04","Sunday",10,46
"469",10703536,107,"2005-09-04","Sunday",11,56
"511",10703536,107,"2005-09-04","Sunday",12,79
"553",10703536,107,"2005-09-04","Sunday",13,118
"595",10703536,107,"2005-09-04","Sunday",14,115
"637",10703536,107,"2005-09-04","Sunday",15,109
"679",10703536,107,"2005-09-04","Sunday",16,90
"721",10703536,107,"2005-09-04","Sunday",17,77
"763",10703536,107,"2005-09-04","Sunday",18,98
"805",10703536,107,"2005-09-04","Sunday",19,91
"847",10703536,107,"2005-09-04","Sunday",20,73
"889",10703536,107,"2005-09-04","Sunday",21,35
"931",10703536,107,"2005-09-04","Sunday",22,37
"973",10703536,107,"2005-09-04","Sunday",23,12
"8",10703536,107,"2005-09-05","Monday",0,10
"50",10703536,107,"2005-09-05","Monday",1,2
"92",10703536,107,"2005-09-05","Monday",2,2
"134",10703536,107,"2005-09-05","Monday",3,1
"176",10703536,107,"2005-09-05","Monday",4,3
"218",10703536,107,"2005-09-05","Monday",5,10
"260",10703536,107,"2005-09-05","Monday",6,40
"302",10703536,107,"2005-09-05","Monday",7,185
"344",10703536,107,"2005-09-05","Monday",8,281
"386",10703536,107,"2005-09-05","Monday",9,169
"428",10703536,107,"2005-09-05","Monday",10,109
"470",10703536,107,"2005-09-05","Monday",11,74
"512",10703536,107,"2005-09-05","Monday",12,94
"554",10703536,107,"2005-09-05","Monday",13,85
"596",10703536,107,"2005-09-05","Monday",14,98
"638",10703536,107,"2005-09-05","Monday",15,187
"680",10703536,107,"2005-09-05","Monday",16,296
"722",10703536,107,"2005-09-05","Monday",17,223
"764",10703536,107,"2005-09-05","Monday",18,182
"806",10703536,107,"2005-09-05","Monday",19,107
"848",10703536,107,"2005-09-05","Monday",20,82
"890",10703536,107,"2005-09-05","Monday",21,33
"932",10703536,107,"2005-09-05","Monday",22,30
"974",10703536,107,"2005-09-05","Monday",23,14
"9",10703536,107,"2005-09-06","Tuesday",0,1
"51",10703536,107,"2005-09-06","Tuesday",1,7
"93",10703536,107,"2005-09-06","Tuesday",2,0
"135",10703536,107,"2005-09-06","Tuesday",3,1
"177",10703536,107,"2005-09-06","Tuesday",4,1
"219",10703536,107,"2005-09-06","Tuesday",5,9
"261",10703536,107,"2005-09-06","Tuesday",6,52
"303",10703536,107,"2005-09-06","Tuesday",7,201
"345",10703536,107,"2005-09-06","Tuesday",8,285
"387",10703536,107,"2005-09-06","Tuesday",9,166
"429",10703536,107,"2005-09-06","Tuesday",10,75
"471",10703536,107,"2005-09-06","Tuesday",11,90
"513",10703536,107,"2005-09-06","Tuesday",12,80
"555",10703536,107,"2005-09-06","Tuesday",13,70
"597",10703536,107,"2005-09-06","Tuesday",14,117
"639",10703536,107,"2005-09-06","Tuesday",15,193
"681",10703536,107,"2005-09-06","Tuesday",16,293
"723",10703536,107,"2005-09-06","Tuesday",17,235
"765",10703536,107,"2005-09-06","Tuesday",18,178
"807",10703536,107,"2005-09-06","Tuesday",19,123
"849",10703536,107,"2005-09-06","Tuesday",20,85
"891",10703536,107,"2005-09-06","Tuesday",21,55
"933",10703536,107,"2005-09-06","Tuesday",22,32
"975",10703536,107,"2005-09-06","Tuesday",23,12
"10",10703536,107,"2005-09-07","Wednesday",0,8
"52",10703536,107,"2005-09-07","Wednesday",1,5
"94",10703536,107,"2005-09-07","Wednesday",2,3
"136",10703536,107,"2005-09-07","Wednesday",3,2
"178",10703536,107,"2005-09-07","Wednesday",4,2
"220",10703536,107,"2005-09-07","Wednesday",5,7
"262",10703536,107,"2005-09-07","Wednesday",6,44
"304",10703536,107,"2005-09-07","Wednesday",7,187
"346",10703536,107,"2005-09-07","Wednesday",8,297
"388",10703536,107,"2005-09-07","Wednesday",9,172
"430",10703536,107,"2005-09-07","Wednesday",10,120
"472",10703536,107,"2005-09-07","Wednesday",11,92
"514",10703536,107,"2005-09-07","Wednesday",12,101
"556",10703536,107,"2005-09-07","Wednesday",13,99
"598",10703536,107,"2005-09-07","Wednesday",14,100
"640",10703536,107,"2005-09-07","Wednesday",15,212
"682",10703536,107,"2005-09-07","Wednesday",16,285
"724",10703536,107,"2005-09-07","Wednesday",17,233
"766",10703536,107,"2005-09-07","Wednesday",18,188
"808",10703536,107,"2005-09-07","Wednesday",19,124
"850",10703536,107,"2005-09-07","Wednesday",20,100
"892",10703536,107,"2005-09-07","Wednesday",21,44
"934",10703536,107,"2005-09-07","Wednesday",22,35
"976",10703536,107,"2005-09-07","Wednesday",23,17
"11",10703536,107,"2005-09-08","Thursday",0,1
"53",10703536,107,"2005-09-08","Thursday",1,2
"95",10703536,107,"2005-09-08","Thursday",2,2
"137",10703536,107,"2005-09-08","Thursday",3,3
"179",10703536,107,"2005-09-08","Thursday",4,1
"221",10703536,107,"2005-09-08","Thursday",5,9
"263",10703536,107,"2005-09-08","Thursday",6,39
"305",10703536,107,"2005-09-08","Thursday",7,169
"347",10703536,107,"2005-09-08","Thursday",8,272
"389",10703536,107,"2005-09-08","Thursday",9,157
"431",10703536,107,"2005-09-08","Thursday",10,73
"473",10703536,107,"2005-09-08","Thursday",11,73
"515",10703536,107,"2005-09-08","Thursday",12,71
"557",10703536,107,"2005-09-08","Thursday",13,91
"599",10703536,107,"2005-09-08","Thursday",14,115
"641",10703536,107,"2005-09-08","Thursday",15,166
"683",10703536,107,"2005-09-08","Thursday",16,259
"725",10703536,107,"2005-09-08","Thursday",17,205
"767",10703536,107,"2005-09-08","Thursday",18,158
"809",10703536,107,"2005-09-08","Thursday",19,107
"851",10703536,107,"2005-09-08","Thursday",20,71
"893",10703536,107,"2005-09-08","Thursday",21,37
"935",10703536,107,"2005-09-08","Thursday",22,28
"977",10703536,107,"2005-09-08","Thursday",23,25
"12",10703536,107,"2005-09-09","Friday",0,11
"54",10703536,107,"2005-09-09","Friday",1,7
"96",10703536,107,"2005-09-09","Friday",2,5
"138",10703536,107,"2005-09-09","Friday",3,1
"180",10703536,107,"2005-09-09","Friday",4,3
"222",10703536,107,"2005-09-09","Friday",5,11
"264",10703536,107,"2005-09-09","Friday",6,37
"306",10703536,107,"2005-09-09","Friday",7,178
"348",10703536,107,"2005-09-09","Friday",8,244
"390",10703536,107,"2005-09-09","Friday",9,152
"432",10703536,107,"2005-09-09","Friday",10,80
"474",10703536,107,"2005-09-09","Friday",11,83
"516",10703536,107,"2005-09-09","Friday",12,80
"558",10703536,107,"2005-09-09","Friday",13,98
"600",10703536,107,"2005-09-09","Friday",14,120
"642",10703536,107,"2005-09-09","Friday",15,184
"684",10703536,107,"2005-09-09","Friday",16,252
"726",10703536,107,"2005-09-09","Friday",17,160
"768",10703536,107,"2005-09-09","Friday",18,123
"810",10703536,107,"2005-09-09","Friday",19,79
"852",10703536,107,"2005-09-09","Friday",20,63
"894",10703536,107,"2005-09-09","Friday",21,39
"936",10703536,107,"2005-09-09","Friday",22,27
"978",10703536,107,"2005-09-09","Friday",23,16
"13",10703536,107,"2005-09-10","Saturday",0,10
"55",10703536,107,"2005-09-10","Saturday",1,13
"97",10703536,107,"2005-09-10","Saturday",2,11
"139",10703536,107,"2005-09-10","Saturday",3,10
"181",10703536,107,"2005-09-10","Saturday",4,2
"223",10703536,107,"2005-09-10","Saturday",5,6
"265",10703536,107,"2005-09-10","Saturday",6,11
"307",10703536,107,"2005-09-10","Saturday",7,12
"349",10703536,107,"2005-09-10","Saturday",8,19
"391",10703536,107,"2005-09-10","Saturday",9,40
"433",10703536,107,"2005-09-10","Saturday",10,63
"475",10703536,107,"2005-09-10","Saturday",11,76
"517",10703536,107,"2005-09-10","Saturday",12,79
"559",10703536,107,"2005-09-10","Saturday",13,89
"601",10703536,107,"2005-09-10","Saturday",14,84
"643",10703536,107,"2005-09-10","Saturday",15,98
"685",10703536,107,"2005-09-10","Saturday",16,98
"727",10703536,107,"2005-09-10","Saturday",17,67
"769",10703536,107,"2005-09-10","Saturday",18,70
"811",10703536,107,"2005-09-10","Saturday",19,28
"853",10703536,107,"2005-09-10","Saturday",20,40
"895",10703536,107,"2005-09-10","Saturday",21,19
"937",10703536,107,"2005-09-10","Saturday",22,22
"979",10703536,107,"2005-09-10","Saturday",23,10
"14",10703536,107,"2005-09-11","Sunday",0,9
"56",10703536,107,"2005-09-11","Sunday",1,9
"98",10703536,107,"2005-09-11","Sunday",2,8
"140",10703536,107,"2005-09-11","Sunday",3,5
"182",10703536,107,"2005-09-11","Sunday",4,8
"224",10703536,107,"2005-09-11","Sunday",5,6
"266",10703536,107,"2005-09-11","Sunday",6,8
"308",10703536,107,"2005-09-11","Sunday",7,7
"350",10703536,107,"2005-09-11","Sunday",8,15
"392",10703536,107,"2005-09-11","Sunday",9,24
"434",10703536,107,"2005-09-11","Sunday",10,37
"476",10703536,107,"2005-09-11","Sunday",11,63
"518",10703536,107,"2005-09-11","Sunday",12,94
"560",10703536,107,"2005-09-11","Sunday",13,98
"602",10703536,107,"2005-09-11","Sunday",14,84
"644",10703536,107,"2005-09-11","Sunday",15,85
"686",10703536,107,"2005-09-11","Sunday",16,82
"728",10703536,107,"2005-09-11","Sunday",17,69
"770",10703536,107,"2005-09-11","Sunday",18,77
"812",10703536,107,"2005-09-11","Sunday",19,58
"854",10703536,107,"2005-09-11","Sunday",20,45
"896",10703536,107,"2005-09-11","Sunday",21,15
"938",10703536,107,"2005-09-11","Sunday",22,9
"980",10703536,107,"2005-09-11","Sunday",23,5
"15",10703536,107,"2005-09-12","Monday",0,2
"57",10703536,107,"2005-09-12","Monday",1,6
"99",10703536,107,"2005-09-12","Monday",2,0
"141",10703536,107,"2005-09-12","Monday",3,4
"183",10703536,107,"2005-09-12","Monday",4,1
"225",10703536,107,"2005-09-12","Monday",5,10
"267",10703536,107,"2005-09-12","Monday",6,31
"309",10703536,107,"2005-09-12","Monday",7,146
"351",10703536,107,"2005-09-12","Monday",8,252
"393",10703536,107,"2005-09-12","Monday",9,147
"435",10703536,107,"2005-09-12","Monday",10,74
"477",10703536,107,"2005-09-12","Monday",11,75
"519",10703536,107,"2005-09-12","Monday",12,90
"561",10703536,107,"2005-09-12","Monday",13,94
"603",10703536,107,"2005-09-12","Monday",14,103
"645",10703536,107,"2005-09-12","Monday",15,146
"687",10703536,107,"2005-09-12","Monday",16,268
"729",10703536,107,"2005-09-12","Monday",17,212
"771",10703536,107,"2005-09-12","Monday",18,146
"813",10703536,107,"2005-09-12","Monday",19,73
"855",10703536,107,"2005-09-12","Monday",20,64
"897",10703536,107,"2005-09-12","Monday",21,31
"939",10703536,107,"2005-09-12","Monday",22,17
"981",10703536,107,"2005-09-12","Monday",23,2
"16",10703536,107,"2005-09-13","Tuesday",0,1
"58",10703536,107,"2005-09-13","Tuesday",1,1
"100",10703536,107,"2005-09-13","Tuesday",2,2
"142",10703536,107,"2005-09-13","Tuesday",3,2
"184",10703536,107,"2005-09-13","Tuesday",4,1
"226",10703536,107,"2005-09-13","Tuesday",5,15
"268",10703536,107,"2005-09-13","Tuesday",6,43
"310",10703536,107,"2005-09-13","Tuesday",7,174
"352",10703536,107,"2005-09-13","Tuesday",8,267
"394",10703536,107,"2005-09-13","Tuesday",9,151
"436",10703536,107,"2005-09-13","Tuesday",10,96
"478",10703536,107,"2005-09-13","Tuesday",11,85
"520",10703536,107,"2005-09-13","Tuesday",12,109
"562",10703536,107,"2005-09-13","Tuesday",13,104
"604",10703536,107,"2005-09-13","Tuesday",14,106
"646",10703536,107,"2005-09-13","Tuesday",15,153
"688",10703536,107,"2005-09-13","Tuesday",16,301
"730",10703536,107,"2005-09-13","Tuesday",17,230
"772",10703536,107,"2005-09-13","Tuesday",18,152
"814",10703536,107,"2005-09-13","Tuesday",19,116
"856",10703536,107,"2005-09-13","Tuesday",20,70
"898",10703536,107,"2005-09-13","Tuesday",21,29
"940",10703536,107,"2005-09-13","Tuesday",22,18
"982",10703536,107,"2005-09-13","Tuesday",23,14
"17",10703536,107,"2005-09-14","Wednesday",0,5
"59",10703536,107,"2005-09-14","Wednesday",1,6
"101",10703536,107,"2005-09-14","Wednesday",2,5
"143",10703536,107,"2005-09-14","Wednesday",3,1
"185",10703536,107,"2005-09-14","Wednesday",4,1
"227",10703536,107,"2005-09-14","Wednesday",5,2
"269",10703536,107,"2005-09-14","Wednesday",6,25
"311",10703536,107,"2005-09-14","Wednesday",7,90
"353",10703536,107,"2005-09-14","Wednesday",8,138
"395",10703536,107,"2005-09-14","Wednesday",9,80
"437",10703536,107,"2005-09-14","Wednesday",10,51
"479",10703536,107,"2005-09-14","Wednesday",11,48
"521",10703536,107,"2005-09-14","Wednesday",12,45
"563",10703536,107,"2005-09-14","Wednesday",13,50
"605",10703536,107,"2005-09-14","Wednesday",14,48
"647",10703536,107,"2005-09-14","Wednesday",15,92
"689",10703536,107,"2005-09-14","Wednesday",16,131
"731",10703536,107,"2005-09-14","Wednesday",17,104
"773",10703536,107,"2005-09-14","Wednesday",18,81
"815",10703536,107,"2005-09-14","Wednesday",19,46
"857",10703536,107,"2005-09-14","Wednesday",20,23
"899",10703536,107,"2005-09-14","Wednesday",21,19
"941",10703536,107,"2005-09-14","Wednesday",22,8
"983",10703536,107,"2005-09-14","Wednesday",23,5
"18",10703536,107,"2005-09-15","Thursday",0,5
"60",10703536,107,"2005-09-15","Thursday",1,5
"102",10703536,107,"2005-09-15","Thursday",2,0
"144",10703536,107,"2005-09-15","Thursday",3,3
"186",10703536,107,"2005-09-15","Thursday",4,3
"228",10703536,107,"2005-09-15","Thursday",5,7
"270",10703536,107,"2005-09-15","Thursday",6,38
"312",10703536,107,"2005-09-15","Thursday",7,127
"354",10703536,107,"2005-09-15","Thursday",8,195
"396",10703536,107,"2005-09-15","Thursday",9,103
"438",10703536,107,"2005-09-15","Thursday",10,71
"480",10703536,107,"2005-09-15","Thursday",11,64
"522",10703536,107,"2005-09-15","Thursday",12,65
"564",10703536,107,"2005-09-15","Thursday",13,51
"606",10703536,107,"2005-09-15","Thursday",14,50
"648",10703536,107,"2005-09-15","Thursday",15,132
"690",10703536,107,"2005-09-15","Thursday",16,168
"732",10703536,107,"2005-09-15","Thursday",17,130
"774",10703536,107,"2005-09-15","Thursday",18,102
"816",10703536,107,"2005-09-15","Thursday",19,59
"858",10703536,107,"2005-09-15","Thursday",20,38
"900",10703536,107,"2005-09-15","Thursday",21,28
"942",10703536,107,"2005-09-15","Thursday",22,19
"984",10703536,107,"2005-09-15","Thursday",23,9
"19",10703536,107,"2005-09-16","Friday",0,18
"61",10703536,107,"2005-09-16","Friday",1,3
"103",10703536,107,"2005-09-16","Friday",2,0
"145",10703536,107,"2005-09-16","Friday",3,1
"187",10703536,107,"2005-09-16","Friday",4,3
"229",10703536,107,"2005-09-16","Friday",5,10
"271",10703536,107,"2005-09-16","Friday",6,31
"313",10703536,107,"2005-09-16","Friday",7,110
"355",10703536,107,"2005-09-16","Friday",8,180
"397",10703536,107,"2005-09-16","Friday",9,115
"439",10703536,107,"2005-09-16","Friday",10,75
"481",10703536,107,"2005-09-16","Friday",11,53
"523",10703536,107,"2005-09-16","Friday",12,77
"565",10703536,107,"2005-09-16","Friday",13,73
"607",10703536,107,"2005-09-16","Friday",14,87
"649",10703536,107,"2005-09-16","Friday",15,151
"691",10703536,107,"2005-09-16","Friday",16,190
"733",10703536,107,"2005-09-16","Friday",17,141
"775",10703536,107,"2005-09-16","Friday",18,102
"817",10703536,107,"2005-09-16","Friday",19,55
"859",10703536,107,"2005-09-16","Friday",20,42
"901",10703536,107,"2005-09-16","Friday",21,27
"943",10703536,107,"2005-09-16","Friday",22,22
"985",10703536,107,"2005-09-16","Friday",23,13
"20",10703536,107,"2005-09-17","Saturday",0,10
"62",10703536,107,"2005-09-17","Saturday",1,10
"104",10703536,107,"2005-09-17","Saturday",2,4
"146",10703536,107,"2005-09-17","Saturday",3,6
"188",10703536,107,"2005-09-17","Saturday",4,5
"230",10703536,107,"2005-09-17","Saturday",5,6
"272",10703536,107,"2005-09-17","Saturday",6,7
"314",10703536,107,"2005-09-17","Saturday",7,17
"356",10703536,107,"2005-09-17","Saturday",8,31
"398",10703536,107,"2005-09-17","Saturday",9,41
"440",10703536,107,"2005-09-17","Saturday",10,43
"482",10703536,107,"2005-09-17","Saturday",11,68
"524",10703536,107,"2005-09-17","Saturday",12,59
"566",10703536,107,"2005-09-17","Saturday",13,72
"608",10703536,107,"2005-09-17","Saturday",14,77
"650",10703536,107,"2005-09-17","Saturday",15,86
"692",10703536,107,"2005-09-17","Saturday",16,71
"734",10703536,107,"2005-09-17","Saturday",17,42
"776",10703536,107,"2005-09-17","Saturday",18,50
"818",10703536,107,"2005-09-17","Saturday",19,26
"860",10703536,107,"2005-09-17","Saturday",20,20
"902",10703536,107,"2005-09-17","Saturday",21,18
"944",10703536,107,"2005-09-17","Saturday",22,19
"986",10703536,107,"2005-09-17","Saturday",23,7
"21",10703536,107,"2005-09-18","Sunday",0,4
"63",10703536,107,"2005-09-18","Sunday",1,6
"105",10703536,107,"2005-09-18","Sunday",2,7
"147",10703536,107,"2005-09-18","Sunday",3,9
"189",10703536,107,"2005-09-18","Sunday",4,6
"231",10703536,107,"2005-09-18","Sunday",5,3
"273",10703536,107,"2005-09-18","Sunday",6,3
"315",10703536,107,"2005-09-18","Sunday",7,9
"357",10703536,107,"2005-09-18","Sunday",8,9
"399",10703536,107,"2005-09-18","Sunday",9,23
"441",10703536,107,"2005-09-18","Sunday",10,23
"483",10703536,107,"2005-09-18","Sunday",11,36
"525",10703536,107,"2005-09-18","Sunday",12,49
"567",10703536,107,"2005-09-18","Sunday",13,39
"609",10703536,107,"2005-09-18","Sunday",14,48
"651",10703536,107,"2005-09-18","Sunday",15,35
"693",10703536,107,"2005-09-18","Sunday",16,33
"735",10703536,107,"2005-09-18","Sunday",17,28
"777",10703536,107,"2005-09-18","Sunday",18,26
"819",10703536,107,"2005-09-18","Sunday",19,31
"861",10703536,107,"2005-09-18","Sunday",20,31
"903",10703536,107,"2005-09-18","Sunday",21,16
"945",10703536,107,"2005-09-18","Sunday",22,4
"987",10703536,107,"2005-09-18","Sunday",23,5
"22",10703536,107,"2005-09-19","Monday",0,4
"64",10703536,107,"2005-09-19","Monday",1,4
"106",10703536,107,"2005-09-19","Monday",2,1
"148",10703536,107,"2005-09-19","Monday",3,2
"190",10703536,107,"2005-09-19","Monday",4,2
"232",10703536,107,"2005-09-19","Monday",5,7
"274",10703536,107,"2005-09-19","Monday",6,39
"316",10703536,107,"2005-09-19","Monday",7,119
"358",10703536,107,"2005-09-19","Monday",8,234
"400",10703536,107,"2005-09-19","Monday",9,138
"442",10703536,107,"2005-09-19","Monday",10,74
"484",10703536,107,"2005-09-19","Monday",11,57
"526",10703536,107,"2005-09-19","Monday",12,68
"568",10703536,107,"2005-09-19","Monday",13,71
"610",10703536,107,"2005-09-19","Monday",14,94
"652",10703536,107,"2005-09-19","Monday",15,161
"694",10703536,107,"2005-09-19","Monday",16,255
"736",10703536,107,"2005-09-19","Monday",17,172
"778",10703536,107,"2005-09-19","Monday",18,151
"820",10703536,107,"2005-09-19","Monday",19,90
"862",10703536,107,"2005-09-19","Monday",20,68
"904",10703536,107,"2005-09-19","Monday",21,32
"946",10703536,107,"2005-09-19","Monday",22,24
"988",10703536,107,"2005-09-19","Monday",23,9
"23",10703536,107,"2005-09-20","Tuesday",0,10
"65",10703536,107,"2005-09-20","Tuesday",1,5
"107",10703536,107,"2005-09-20","Tuesday",2,1
"149",10703536,107,"2005-09-20","Tuesday",3,3
"191",10703536,107,"2005-09-20","Tuesday",4,3
"233",10703536,107,"2005-09-20","Tuesday",5,8
"275",10703536,107,"2005-09-20","Tuesday",6,39
"317",10703536,107,"2005-09-20","Tuesday",7,153
"359",10703536,107,"2005-09-20","Tuesday",8,242
